id,url
114365,https://www.europarl.europa.eu/doceo/document/A-9-2020-0064_EN.html
114400,https://www.europarl.europa.eu/doceo/document/A-9-2020-0065_EN.html
114367,https://www.europarl.europa.eu/doceo/document/A-9-2020-0066_EN.html
114368,https://www.europarl.europa.eu/doceo/document/A-9-2020-0067_EN.html
114401,https://www.europarl.europa.eu/doceo/document/A-9-2020-0068_EN.html
114402,https://www.europarl.europa.eu/doceo/document/A-9-2020-0069_EN.html
114403,https://www.europarl.europa.eu/doceo/document/A-9-2020-0070_EN.html
114404,https://www.europarl.europa.eu/doceo/document/A-9-2020-0071_EN.html
114405,https://www.europarl.europa.eu/doceo/document/A-9-2020-0072_EN.html
114369,https://www.europarl.europa.eu/doceo/document/A-9-2020-0073_EN.html
114370,https://www.europarl.europa.eu/doceo/document/A-9-2020-0074_EN.html
114406,https://www.europarl.europa.eu/doceo/document/A-9-2020-0075_EN.html
114371,https://www.europarl.europa.eu/doceo/document/A-9-2020-0077_EN.html
114408,https://www.europarl.europa.eu/doceo/document/A-9-2020-0078_EN.html
114409,https://www.europarl.europa.eu/doceo/document/A-9-2020-0079_EN.html
116209,https://www.europarl.europa.eu/doceo/document/A-9-2020-0081_EN.html
114093,https://www.europarl.europa.eu/doceo/document/A-9-2020-0102_EN.html
116211,https://www.europarl.europa.eu/doceo/document/A-9-2020-0103_EN.html
115403,https://www.europarl.europa.eu/doceo/document/A-9-2020-0113_EN.html
115399,https://www.europarl.europa.eu/doceo/document/A-9-2020-0117_EN.html
116210,https://www.europarl.europa.eu/doceo/document/A-9-2020-0118_EN.html
116208,https://www.europarl.europa.eu/doceo/document/A-9-2020-0122_EN.html
116282,https://www.europarl.europa.eu/doceo/document/A-9-2020-0124_EN.html
116284,https://www.europarl.europa.eu/doceo/document/A-9-2020-0125_EN.html
116283,https://www.europarl.europa.eu/doceo/document/A-9-2020-0127_EN.html
116786,https://www.europarl.europa.eu/doceo/document/A-9-2020-0129_EN.html
116287,https://www.europarl.europa.eu/doceo/document/A-9-2020-0130_EN.html
116290,https://www.europarl.europa.eu/doceo/document/A-9-2020-0131_EN.html
117269,https://www.europarl.europa.eu/doceo/document/A-9-2020-0134_EN.html
117092,https://www.europarl.europa.eu/doceo/document/A-9-2020-0135_EN.html
117088,https://www.europarl.europa.eu/doceo/document/A-9-2020-0136_EN.html
117094,https://www.europarl.europa.eu/doceo/document/A-9-2020-0137_EN.html
117267,https://www.europarl.europa.eu/doceo/document/A-9-2020-0138_EN.html
117090,https://www.europarl.europa.eu/doceo/document/A-9-2020-0139_EN.html
117270,https://www.europarl.europa.eu/doceo/document/A-9-2020-0142_EN.html
116785,https://www.europarl.europa.eu/doceo/document/A-9-2020-0143_EN.html
117085,https://www.europarl.europa.eu/doceo/document/A-9-2020-0144_EN.html
124013,https://www.europarl.europa.eu/doceo/document/A-9-2020-0145_EN.html
117271,https://www.europarl.europa.eu/doceo/document/A-9-2020-0147_EN.html
117083,https://www.europarl.europa.eu/doceo/document/A-9-2020-0148_EN.html
130719,https://www.europarl.europa.eu/doceo/document/A-9-2020-0149_EN.html
118526,https://www.europarl.europa.eu/doceo/document/A-9-2020-0154_EN.html
118629,https://www.europarl.europa.eu/doceo/document/A-9-2020-0155_EN.html
118192,https://www.europarl.europa.eu/doceo/document/A-9-2020-0160_EN.html
118628,https://www.europarl.europa.eu/doceo/document/A-9-2020-0161_EN.html
118521,https://www.europarl.europa.eu/doceo/document/A-9-2020-0162_EN.html
118523,https://www.europarl.europa.eu/doceo/document/A-9-2020-0164_EN.html
121828,https://www.europarl.europa.eu/doceo/document/A-9-2020-0165_EN.html
121829,https://www.europarl.europa.eu/doceo/document/A-9-2020-0166_EN.html
123171,https://www.europarl.europa.eu/doceo/document/A-9-2020-0167_EN.html
118191,https://www.europarl.europa.eu/doceo/document/A-9-2020-0170_EN.html
122256,https://www.europarl.europa.eu/doceo/document/A-9-2020-0172_EN.html
122259,https://www.europarl.europa.eu/doceo/document/A-9-2020-0176_EN.html
122255,https://www.europarl.europa.eu/doceo/document/A-9-2020-0177_EN.html
122258,https://www.europarl.europa.eu/doceo/document/A-9-2020-0178_EN.html
124011,https://www.europarl.europa.eu/doceo/document/A-9-2020-0179_EN.html
121822,https://www.europarl.europa.eu/doceo/document/A-9-2020-0181_EN.html
123177,https://www.europarl.europa.eu/doceo/document/A-9-2020-0183_EN.html
124734,https://www.europarl.europa.eu/doceo/document/A-9-2020-0184_EN.html
122257,https://www.europarl.europa.eu/doceo/document/A-9-2020-0186_EN.html
126241,https://www.europarl.europa.eu/doceo/document/A-9-2020-0187_EN.html
121819,https://www.europarl.europa.eu/doceo/document/A-9-2020-0188_EN.html
121820,https://www.europarl.europa.eu/doceo/document/A-9-2020-0189_EN.html
123176,https://www.europarl.europa.eu/doceo/document/A-9-2020-0193_EN.html
126259,https://www.europarl.europa.eu/doceo/document/A-9-2020-0194_EN.html
124864,https://www.europarl.europa.eu/doceo/document/A-9-2020-0196_EN.html
125367,https://www.europarl.europa.eu/doceo/document/A-9-2020-0197_EN.html
124866,https://www.europarl.europa.eu/doceo/document/A-9-2020-0198_EN.html
124868,https://www.europarl.europa.eu/doceo/document/A-9-2020-0203_EN.html
125368,https://www.europarl.europa.eu/doceo/document/A-9-2020-0204_EN.html
125366,https://www.europarl.europa.eu/doceo/document/A-9-2020-0205_EN.html
124733,https://www.europarl.europa.eu/doceo/document/A-9-2020-0206_EN.html
125365,https://www.europarl.europa.eu/doceo/document/A-9-2020-0207_EN.html
125362,https://www.europarl.europa.eu/doceo/document/A-9-2020-0208_EN.html
127230,https://www.europarl.europa.eu/doceo/document/A-9-2020-0208_EN.html
125364,https://www.europarl.europa.eu/doceo/document/A-9-2020-0209_EN.html
127024,https://www.europarl.europa.eu/doceo/document/A-9-2020-0210_EN.html
125375,https://www.europarl.europa.eu/doceo/document/A-9-2020-0211_EN.html
125369,https://www.europarl.europa.eu/doceo/document/A-9-2020-0212_EN.html
127632,https://www.europarl.europa.eu/doceo/document/A-9-2020-0214_EN.html
125371,https://www.europarl.europa.eu/doceo/document/A-9-2020-0216_EN.html
125480,https://www.europarl.europa.eu/doceo/document/A-9-2020-0217_EN.html
127830,https://www.europarl.europa.eu/doceo/document/A-9-2020-0219_EN.html
125474,https://www.europarl.europa.eu/doceo/document/A-9-2020-0226_EN.html
127224,https://www.europarl.europa.eu/doceo/document/A-9-2020-0228_EN.html
127172,https://www.europarl.europa.eu/doceo/document/A-9-2020-0229_EN.html
126262,https://www.europarl.europa.eu/doceo/document/A-9-2020-0230_EN.html
127174,https://www.europarl.europa.eu/doceo/document/A-9-2020-0232_EN.html
126249,https://www.europarl.europa.eu/doceo/document/A-9-2020-0233_EN.html
127173,https://www.europarl.europa.eu/doceo/document/A-9-2020-0234_EN.html
125521,https://www.europarl.europa.eu/doceo/document/A-9-2020-0237_EN.html
126137,https://www.europarl.europa.eu/doceo/document/A-9-2020-0238_EN.html
126250,https://www.europarl.europa.eu/doceo/document/A-9-2020-0240_EN.html
126136,https://www.europarl.europa.eu/doceo/document/A-9-2020-0245_EN.html
127169,https://www.europarl.europa.eu/doceo/document/A-9-2020-0246_EN.html
127168,https://www.europarl.europa.eu/doceo/document/A-9-2020-0247_EN.html
127022,https://www.europarl.europa.eu/doceo/document/A-9-2020-0248_EN.html
127023,https://www.europarl.europa.eu/doceo/document/A-9-2020-0250_EN.html
127026,https://www.europarl.europa.eu/doceo/document/A-9-2020-0251_EN.html
155928,https://www.europarl.europa.eu/doceo/document/A-9-2020-0256_EN.html
155918,https://www.europarl.europa.eu/doceo/document/A-9-2020-0257_EN.html
127030,https://www.europarl.europa.eu/doceo/document/A-9-2020-0259_EN.html
127165,https://www.europarl.europa.eu/doceo/document/A-9-2020-0264_EN.html
127029,https://www.europarl.europa.eu/doceo/document/A-9-2020-0265_EN.html
127028,https://www.europarl.europa.eu/doceo/document/A-9-2020-0266_EN.html
126342,https://www.europarl.europa.eu/doceo/document/A-9-2020-0267_EN.html
127163,https://www.europarl.europa.eu/doceo/document/A-9-2020-0269_EN.html
127027,https://www.europarl.europa.eu/doceo/document/A-9-2020-0270_EN.html
127025,https://www.europarl.europa.eu/doceo/document/A-9-2021-0001_EN.html
127623,https://www.europarl.europa.eu/doceo/document/A-9-2021-0002_EN.html
136183,https://www.europarl.europa.eu/doceo/document/A-9-2021-0003_EN.html
127627,https://www.europarl.europa.eu/doceo/document/A-9-2021-0004_EN.html
127626,https://www.europarl.europa.eu/doceo/document/A-9-2021-0005_EN.html
127628,https://www.europarl.europa.eu/doceo/document/A-9-2021-0006_EN.html
127624,https://www.europarl.europa.eu/doceo/document/A-9-2021-0008_EN.html
127625,https://www.europarl.europa.eu/doceo/document/A-9-2021-0011_EN.html
128845,https://www.europarl.europa.eu/doceo/document/A-9-2021-0012_EN.html
128855,https://www.europarl.europa.eu/doceo/document/A-9-2021-0013_EN.html
128846,https://www.europarl.europa.eu/doceo/document/A-9-2021-0014_EN.html
128861,https://www.europarl.europa.eu/doceo/document/A-9-2021-0015_EN.html
128848,https://www.europarl.europa.eu/doceo/document/A-9-2021-0016_EN.html
159232,https://www.europarl.europa.eu/doceo/document/A-9-2021-0016_EN.html
129469,https://www.europarl.europa.eu/doceo/document/A-9-2021-0017_EN.html
128844,https://www.europarl.europa.eu/doceo/document/A-9-2021-0018_EN.html
128842,https://www.europarl.europa.eu/doceo/document/A-9-2021-0019_EN.html
129463,https://www.europarl.europa.eu/doceo/document/A-9-2021-0025_EN.html
130598,https://www.europarl.europa.eu/doceo/document/A-9-2021-0029_EN.html
129474,https://www.europarl.europa.eu/doceo/document/A-9-2021-0031_EN.html
129476,https://www.europarl.europa.eu/doceo/document/A-9-2021-0032_EN.html
129470,https://www.europarl.europa.eu/doceo/document/A-9-2021-0033_EN.html
128967,https://www.europarl.europa.eu/doceo/document/A-9-2021-0036_EN.html
129468,https://www.europarl.europa.eu/doceo/document/A-9-2021-0037_EN.html
131715,https://www.europarl.europa.eu/doceo/document/A-9-2021-0039_EN.html
129475,https://www.europarl.europa.eu/doceo/document/A-9-2021-0040_EN.html
129473,https://www.europarl.europa.eu/doceo/document/A-9-2021-0041_EN.html
129471,https://www.europarl.europa.eu/doceo/document/A-9-2021-0043_EN.html
130618,https://www.europarl.europa.eu/doceo/document/A-9-2021-0044_EN.html
130852,https://www.europarl.europa.eu/doceo/document/A-9-2021-0044_EN.html
129467,https://www.europarl.europa.eu/doceo/document/A-9-2021-0046_EN.html
129466,https://www.europarl.europa.eu/doceo/document/A-9-2021-0049_EN.html
130596,https://www.europarl.europa.eu/doceo/document/A-9-2021-0054_EN.html
130623,https://www.europarl.europa.eu/doceo/document/A-9-2021-0055_EN.html
130857,https://www.europarl.europa.eu/doceo/document/A-9-2021-0055_EN.html
130619,https://www.europarl.europa.eu/doceo/document/A-9-2021-0056_EN.html
130853,https://www.europarl.europa.eu/doceo/document/A-9-2021-0056_EN.html
130622,https://www.europarl.europa.eu/doceo/document/A-9-2021-0057_EN.html
130856,https://www.europarl.europa.eu/doceo/document/A-9-2021-0057_EN.html
131772,https://www.europarl.europa.eu/doceo/document/A-9-2021-0058_EN.html
130621,https://www.europarl.europa.eu/doceo/document/A-9-2021-0059_EN.html
130855,https://www.europarl.europa.eu/doceo/document/A-9-2021-0059_EN.html
131712,https://www.europarl.europa.eu/doceo/document/A-9-2021-0060_EN.html
131706,https://www.europarl.europa.eu/doceo/document/A-9-2021-0061_EN.html
131710,https://www.europarl.europa.eu/doceo/document/A-9-2021-0062_EN.html
