"from","to","weight"
"Constanze KREHL (DEU-SD)","Marianne VIND (DNK-SD)",1
"Constanze KREHL (DEU-SD)","Adrián VÁZQUEZ LÁZARA (ESP-RENEW)",1
"Bernd LANGE (DEU-SD)","Jerzy BUZEK (POL-EPP)",1
"Bernd LANGE (DEU-SD)","Esther DE LANGE (NLD-EPP)",1
"Bernd LANGE (DEU-SD)","Alexandra GEESE (DEU-GREEN_EFA)",1
"Markus FERBER (DEU-EPP)","Jacek SARYUSZ-WOLSKI (POL-ECR)",1
"Markus FERBER (DEU-EPP)","Aldo PATRICIELLO (ITA-EPP)",1
"Markus FERBER (DEU-EPP)","Iuliu WINKLER (ROU-EPP)",1
"Markus FERBER (DEU-EPP)","Anna CAVAZZINI (DEU-GREEN_EFA)",1
"Markus FERBER (DEU-EPP)","Ska KELLER (DEU-GREEN_EFA)",1
"Markus FERBER (DEU-EPP)","István UJHELYI (HUN-SD)",1
"Markus FERBER (DEU-EPP)","Michaela ŠOJDROVÁ (CZE-EPP)",1
"Markus FERBER (DEU-EPP)","Tomáš ZDECHOVSKÝ (CZE-EPP)",1
"Markus FERBER (DEU-EPP)","Miapetra KUMPULA-NATRI (FIN-SD)",1
"Markus FERBER (DEU-EPP)","Franc BOGOVIČ (SVN-EPP)",1
"Markus FERBER (DEU-EPP)","Javier NART (ESP-RENEW)",1
"Markus FERBER (DEU-EPP)","Elissavet VOZEMBERG-VRIONIDI (GRC-EPP)",1
"Markus FERBER (DEU-EPP)","Urmas PAET (EST-RENEW)",1
"Markus FERBER (DEU-EPP)","Asim ADEMOV (BGR-EPP)",1
"Markus FERBER (DEU-EPP)","Alice KUHNKE (SWE-GREEN_EFA)",1
"Markus FERBER (DEU-EPP)","Hildegard BENTELE (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Moritz KÖRNER (DEU-RENEW)",1
"Markus FERBER (DEU-EPP)","Henrike HAHN (DEU-GREEN_EFA)",1
"Markus FERBER (DEU-EPP)","Geert BOURGEOIS (BEL-ECR)",1
"Markus FERBER (DEU-EPP)","Magdalena ADAMOWICZ (POL-EPP)",1
"Markus FERBER (DEU-EPP)","Manon AUBRY (FRA-GUE_NGL)",1
"Markus FERBER (DEU-EPP)","Andżelika Anna MOŻDŻANOWSKA (POL-ECR)",1
"Markus FERBER (DEU-EPP)","Janina OCHOJSKA (POL-EPP)",1
"Markus FERBER (DEU-EPP)","Irène TOLLERET (FRA-RENEW)",1
"Markus FERBER (DEU-EPP)","Radosław SIKORSKI (POL-EPP)",1
"Markus FERBER (DEU-EPP)","Damien CARÊME (FRA-GREEN_EFA)",1
"Markus FERBER (DEU-EPP)","Carmen AVRAM (ROU-SD)",1
"Markus FERBER (DEU-EPP)","Claudiu MANDA (ROU-SD)",1
"Markus FERBER (DEU-EPP)","Adrian-Dragoş BENEA (ROU-SD)",1
"Markus FERBER (DEU-EPP)","Pierre LARROUTUROU (FRA-SD)",1
