"from","to","weight"
"Antonio TAJANI (ITA-EPP)","Carlo CALENDA (ITA-SD)",1
"Antonio TAJANI (ITA-EPP)","Simone SCHMIEDTBAUER (AUT-EPP)",1
"Antonio TAJANI (ITA-EPP)","Bettina VOLLATH (AUT-SD)",1
"Antonio TAJANI (ITA-EPP)","Manuel PIZARRO (PRT-SD)",1
"Antonio TAJANI (ITA-EPP)","Álvaro AMARO (PRT-EPP)",1
"Antonio TAJANI (ITA-EPP)","Luisa REGIMENTI (ITA-ID)",1
"Antonio TAJANI (ITA-EPP)","Andrea CAROPPO (ITA-EPP)",1
"Antonio TAJANI (ITA-EPP)","Giuseppe MILAZZO (ITA-ECR)",1
"Rainer WIELAND (DEU-EPP)","Michael GAHLER (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Angelika NIEBLER (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Daniel CASPARY (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Andreas SCHWAB (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Christian EHLER (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Manfred WEBER (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Ljudmila NOVAK (SVN-EPP)",1
"Rainer WIELAND (DEU-EPP)","Antonio LÓPEZ-ISTÚRIZ WHITE (ESP-EPP)",1
"Rainer WIELAND (DEU-EPP)","Francisco José MILLÁN MON (ESP-EPP)",1
"Rainer WIELAND (DEU-EPP)","Sabine VERHEYEN (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Axel VOSS (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Jarosław KALINOWSKI (POL-EPP)",1
"Rainer WIELAND (DEU-EPP)","Peter JAHR (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Monika HOHLMEIER (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Herbert DORFMANN (ITA-EPP)",1
"Rainer WIELAND (DEU-EPP)","Pablo ARIAS ECHEVERRÍA (ESP-EPP)",1
"Rainer WIELAND (DEU-EPP)","Lena DÜPONT (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","David McALLISTER (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Norbert LINS (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Lukas MANDL (AUT-EPP)",1
"Rainer WIELAND (DEU-EPP)","Hildegard BENTELE (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Niclas HERBST (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Christine SCHNEIDER (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Ralf SEEKATZ (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Sven SIMON (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Marlene MORTLER (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Marion WALSMANN (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Christian DOLESCHAL (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Jarosław DUDA (POL-EPP)",1
"Rainer WIELAND (DEU-EPP)","Tomasz FRANKOWSKI (POL-EPP)",1
"Rainer WIELAND (DEU-EPP)","Javier ZARZALEJOS (ESP-EPP)",1
"Rainer WIELAND (DEU-EPP)","Barbara THALER (AUT-EPP)",1
"Rainer WIELAND (DEU-EPP)","Leopoldo LÓPEZ GIL (ESP-EPP)",1
"Rainer WIELAND (DEU-EPP)","Liudas MAŽYLIS (LTU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Andrius KUBILIUS (LTU-EPP)",1
"Michael GAHLER (DEU-EPP)","Angelika NIEBLER (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Daniel CASPARY (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Andreas SCHWAB (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Manfred WEBER (DEU-EPP)",1
