"from","to","weight"
"Raffaele FITTO (ITA-ECR)","Mara BIZZOTTO (ITA-ID)",1
"Raffaele FITTO (ITA-ECR)","Joëlle MÉLIN (FRA-ID)",1
"Raffaele FITTO (ITA-ECR)","Jean-François JALKH (FRA-ID)",1
"Raffaele FITTO (ITA-ECR)","Angel DZHAMBAZKI (BGR-ECR)",1
"Raffaele FITTO (ITA-ECR)","Karol KARSKI (POL-ECR)",1
"Raffaele FITTO (ITA-ECR)","Zdzisław KRASNODĘBSKI (POL-ECR)",1
"Raffaele FITTO (ITA-ECR)","Jessica STEGRUD (SWE-ECR)",1
"Raffaele FITTO (ITA-ECR)","Joachim Stanisław BRUDZIŃSKI (POL-ECR)",1
"Raffaele FITTO (ITA-ECR)","Beata KEMPA (POL-ECR)",1
"Raffaele FITTO (ITA-ECR)","Izabela-Helena KLOC (POL-ECR)",1
"Raffaele FITTO (ITA-ECR)","Beata MAZUREK (POL-ECR)",1
"Raffaele FITTO (ITA-ECR)","Andżelika Anna MOŻDŻANOWSKA (POL-ECR)",1
"Raffaele FITTO (ITA-ECR)","Elżbieta RAFALSKA (POL-ECR)",1
"Raffaele FITTO (ITA-ECR)","Søren GADE (DNK-RENEW)",1
"Raffaele FITTO (ITA-ECR)","Witold Jan WASZCZYKOWSKI (POL-ECR)",1
"Raffaele FITTO (ITA-ECR)","Peter KOFOD (DNK-ID)",1
"Raffaele FITTO (ITA-ECR)","Anna ZALEWSKA (POL-ECR)",1
"Raffaele FITTO (ITA-ECR)","Laura HUHTASAARI (FIN-ID)",1
"Raffaele FITTO (ITA-ECR)","Hélène LAPORTE (FRA-ID)",1
"Raffaele FITTO (ITA-ECR)","Pietro FIOCCHI (ITA-ECR)",1
"Raffaele FITTO (ITA-ECR)","Marco DREOSTO (ITA-ID)",1
"Raffaele FITTO (ITA-ECR)","Simona BALDASSARRE (ITA-ID)",1
"Raffaele FITTO (ITA-ECR)","Luisa REGIMENTI (ITA-ID)",1
"Raffaele FITTO (ITA-ECR)","Andrea CAROPPO (ITA-EPP)",1
"Raffaele FITTO (ITA-ECR)","Nicola PROCACCINI (ITA-ECR)",1
"Raffaele FITTO (ITA-ECR)","Raffaele STANCANELLI (ITA-ECR)",1
"Raffaele FITTO (ITA-ECR)","Vincenzo SOFO (ITA-ECR)",1
"Antonius MANDERS (NLD-EPP)","Ralf SEEKATZ (DEU-EPP)",1
"Sergio BERLATO (ITA-ECR)","Jan ZAHRADIL (CZE-ECR)",1
"Sergio BERLATO (ITA-ECR)","Adam BIELAN (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Jacek SARYUSZ-WOLSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Anna FOTYGA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Ryszard CZARNECKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Zbigniew KUŹMIUK (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Marco CAMPOMENOSI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Ryszard Antoni LEGUTKO (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Tomasz Piotr PORĘBA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Carlo FIDANZA (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Angel DZHAMBAZKI (BGR-ECR)",1
"Sergio BERLATO (ITA-ECR)","Jadwiga WIŚNIEWSKA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Kosma ZŁOTOWSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Karol KARSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Zdzisław KRASNODĘBSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Jörg MEUTHEN (DEU-ID)",1
"Sergio BERLATO (ITA-ECR)","Assita KANKO (BEL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Lars Patrick BERG (DEU-ECR)",1
"Sergio BERLATO (ITA-ECR)","Jaak MADISON (EST-ID)",1
"Sergio BERLATO (ITA-ECR)","Joachim Stanisław BRUDZIŃSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Patryk JAKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Krzysztof JURGIEL (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Beata KEMPA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Izabela-Helena KLOC (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Joanna KOPCIŃSKA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Elżbieta KRUK (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Alexandr VONDRA (CZE-ECR)",1
"Sergio BERLATO (ITA-ECR)","Beata MAZUREK (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Andżelika Anna MOŻDŻANOWSKA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Elżbieta RAFALSKA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Bogdan RZOŃCA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Veronika VRECIONOVÁ (CZE-ECR)",1
"Sergio BERLATO (ITA-ECR)","Beata SZYDŁO (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Grzegorz TOBISZOWSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Witold Jan WASZCZYKOWSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Anna ZALEWSKA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Silvia SARDONE (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Pietro FIOCCHI (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Elena LIZZI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Rosanna CONTE (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Virginie JORON (FRA-ID)",1
"Sergio BERLATO (ITA-ECR)","Bert-Jan RUISSEN (NLD-ECR)",1
"Sergio BERLATO (ITA-ECR)","Susanna CECCARDI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Antonio Maria RINALDI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Nicola PROCACCINI (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Raffaele STANCANELLI (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Jorge BUXADÉ VILLALBA (ESP-ECR)",1
"Sergio BERLATO (ITA-ECR)","Hermann TERTSCH (ESP-ECR)",1
"Sergio BERLATO (ITA-ECR)","Andrey SLABAKOV (BGR-ECR)",1
"Sergio BERLATO (ITA-ECR)","Mazaly AGUILAR (ESP-ECR)",1
"Sergio BERLATO (ITA-ECR)","Emmanouil FRAGKOS (GRC-ECR)",1
"Sergio BERLATO (ITA-ECR)","Vincenzo SOFO (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Dominik TARCZYŃSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Margarita DE LA PISA CARRIÓN (ESP-ECR)",1
"Sergio BERLATO (ITA-ECR)","Jean-Lin LACAPELLE (FRA-ID)",1
"Sergio BERLATO (ITA-ECR)","Ladislav ILČIĆ (HRV-ECR)",1
"Brice HORTEFEUX (FRA-EPP)","Anne SANDER (FRA-EPP)",1
"Brice HORTEFEUX (FRA-EPP)","Andreas SCHWAB (DEU-EPP)",1
"Brice HORTEFEUX (FRA-EPP)","Nadine MORANO (FRA-EPP)",1
"Brice HORTEFEUX (FRA-EPP)","Evžen TOŠENOVSKÝ (CZE-ECR)",1
"Brice HORTEFEUX (FRA-EPP)","Arnaud DANJEAN (FRA-EPP)",1
"Brice HORTEFEUX (FRA-EPP)","Geoffroy DIDIER (FRA-EPP)",1
"Brice HORTEFEUX (FRA-EPP)","François-Xavier BELLAMY (FRA-EPP)",1
"Brice HORTEFEUX (FRA-EPP)","Nathalie COLIN-OESTERLÉ (FRA-EPP)",1
"Brice HORTEFEUX (FRA-EPP)","Veronika VRECIONOVÁ (CZE-ECR)",1
"Brice HORTEFEUX (FRA-EPP)","Vasile BLAGA (ROU-EPP)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Mick WALLACE (IRL-GUE_NGL)",1
"Jan ZAHRADIL (CZE-ECR)","Adam BIELAN (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Jacek SARYUSZ-WOLSKI (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Anna FOTYGA (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Ryszard CZARNECKI (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Zbigniew KUŹMIUK (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Marco CAMPOMENOSI (ITA-ID)",1
"Jan ZAHRADIL (CZE-ECR)","Evžen TOŠENOVSKÝ (CZE-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Ryszard Antoni LEGUTKO (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Tomasz Piotr PORĘBA (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Angel DZHAMBAZKI (BGR-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Jadwiga WIŚNIEWSKA (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Kosma ZŁOTOWSKI (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Karol KARSKI (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Zdzisław KRASNODĘBSKI (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Assita KANKO (BEL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Joachim Stanisław BRUDZIŃSKI (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Patryk JAKI (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Krzysztof JURGIEL (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Beata KEMPA (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Izabela-Helena KLOC (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Joanna KOPCIŃSKA (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Elżbieta KRUK (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Alexandr VONDRA (CZE-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Beata MAZUREK (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Andżelika Anna MOŻDŻANOWSKA (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Elżbieta RAFALSKA (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Bogdan RZOŃCA (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Veronika VRECIONOVÁ (CZE-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Beata SZYDŁO (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Grzegorz TOBISZOWSKI (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Witold Jan WASZCZYKOWSKI (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Anna ZALEWSKA (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Silvia SARDONE (ITA-ID)",1
"Jan ZAHRADIL (CZE-ECR)","Gianantonio DA RE (ITA-ID)",1
"Jan ZAHRADIL (CZE-ECR)","Elena LIZZI (ITA-ID)",1
"Jan ZAHRADIL (CZE-ECR)","Rosanna CONTE (ITA-ID)",1
"Jan ZAHRADIL (CZE-ECR)","Eugen JURZYCA (SVK-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Susanna CECCARDI (ITA-ID)",1
"Jan ZAHRADIL (CZE-ECR)","Antonio Maria RINALDI (ITA-ID)",1
"Jan ZAHRADIL (CZE-ECR)","Hermann TERTSCH (ESP-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Dominik TARCZYŃSKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Jacek SARYUSZ-WOLSKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Anna FOTYGA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Ryszard CZARNECKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Zbigniew KUŹMIUK (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Catherine GRISET (FRA-ID)",1
"Adam BIELAN (POL-ECR)","Evžen TOŠENOVSKÝ (CZE-ECR)",1
"Adam BIELAN (POL-ECR)","Ryszard Antoni LEGUTKO (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Tomasz Piotr PORĘBA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Carlo FIDANZA (ITA-ECR)",1
"Adam BIELAN (POL-ECR)","Charlie WEIMERS (SWE-ECR)",1
"Adam BIELAN (POL-ECR)","Gilles LEBRETON (FRA-ID)",1
"Adam BIELAN (POL-ECR)","Dominique BILDE (FRA-ID)",1
"Adam BIELAN (POL-ECR)","Angel DZHAMBAZKI (BGR-ECR)",1
"Adam BIELAN (POL-ECR)","Jadwiga WIŚNIEWSKA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Kosma ZŁOTOWSKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Karol KARSKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Zdzisław KRASNODĘBSKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Gerolf ANNEMANS (BEL-ID)",1
"Adam BIELAN (POL-ECR)","Peter LUNDGREN (SWE-ECR)",1
"Adam BIELAN (POL-ECR)","Annika BRUNA (FRA-ID)",1
"Adam BIELAN (POL-ECR)","Tom VANDENDRIESSCHE (BEL-ID)",1
"Adam BIELAN (POL-ECR)","France JAMET (FRA-ID)",1
"Adam BIELAN (POL-ECR)","Jörg MEUTHEN (DEU-ID)",1
"Adam BIELAN (POL-ECR)","Assita KANKO (BEL-ECR)",1
"Adam BIELAN (POL-ECR)","Jaak MADISON (EST-ID)",1
"Adam BIELAN (POL-ECR)","Joachim Stanisław BRUDZIŃSKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Patryk JAKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Krzysztof JURGIEL (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Beata KEMPA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Izabela-Helena KLOC (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Joanna KOPCIŃSKA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Elżbieta KRUK (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Alexandr VONDRA (CZE-ECR)",1
"Adam BIELAN (POL-ECR)","Beata MAZUREK (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Andżelika Anna MOŻDŻANOWSKA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Elżbieta RAFALSKA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Bogdan RZOŃCA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Veronika VRECIONOVÁ (CZE-ECR)",1
"Adam BIELAN (POL-ECR)","Beata SZYDŁO (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Grzegorz TOBISZOWSKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Witold Jan WASZCZYKOWSKI (POL-ECR)",1
