"from","to","weight"
"Antonio TAJANI (ITA-EPP)","Joëlle MÉLIN (FRA-ID)",1
"Antonio TAJANI (ITA-EPP)","Eleonora EVI (ITA-GREEN_EFA)",1
"Antonio TAJANI (ITA-EPP)","Simona BONAFÈ (ITA-SD)",1
"Antonio TAJANI (ITA-EPP)","Jytte GUTELAND (SWE-SD)",1
"Antonio TAJANI (ITA-EPP)","Esteban GONZÁLEZ PONS (ESP-EPP)",1
"Antonio TAJANI (ITA-EPP)","Nikos ANDROULAKIS (GRC-SD)",1
"Antonio TAJANI (ITA-EPP)","Chrysoula ZACHAROPOULOU (FRA-RENEW)",1
"Antonio TAJANI (ITA-EPP)","Radosław SIKORSKI (POL-EPP)",1
"Antonio TAJANI (ITA-EPP)","Luis GARICANO (ESP-RENEW)",1
"Antonio TAJANI (ITA-EPP)","Søren GADE (DNK-RENEW)",1
"Antonio TAJANI (ITA-EPP)","Pierfrancesco MAJORINO (ITA-SD)",1
"Antonio TAJANI (ITA-EPP)","Hélène LAPORTE (FRA-ID)",1
"Antonio TAJANI (ITA-EPP)","Carlo CALENDA (ITA-SD)",1
"Antonio TAJANI (ITA-EPP)","Simone SCHMIEDTBAUER (AUT-EPP)",1
"Antonio TAJANI (ITA-EPP)","Bettina VOLLATH (AUT-SD)",1
"Antonio TAJANI (ITA-EPP)","Pernando BARRENA ARZA (ESP-GUE_NGL)",1
"Antonio TAJANI (ITA-EPP)","Manuel PIZARRO (PRT-SD)",1
"Antonio TAJANI (ITA-EPP)","Adriana MALDONADO LÓPEZ (ESP-SD)",1
"Antonio TAJANI (ITA-EPP)","Álvaro AMARO (PRT-EPP)",1
"Antonio TAJANI (ITA-EPP)","Luisa REGIMENTI (ITA-ID)",1
"Antonio TAJANI (ITA-EPP)","Andrea CAROPPO (ITA-EPP)",1
"Rainer WIELAND (DEU-EPP)","Michael GAHLER (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Angelika NIEBLER (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Daniel CASPARY (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Andreas SCHWAB (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Christian EHLER (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Manfred WEBER (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Jan OLBRYCHT (POL-EPP)",1
"Rainer WIELAND (DEU-EPP)","Ljudmila NOVAK (SVN-EPP)",1
"Rainer WIELAND (DEU-EPP)","Marian-Jean MARINESCU (ROU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Sabine VERHEYEN (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Axel VOSS (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Peter JAHR (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Lena DÜPONT (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Siegfried MUREŞAN (ROU-EPP)",1
"Rainer WIELAND (DEU-EPP)","David McALLISTER (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Jens GIESEKE (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Norbert LINS (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Franc BOGOVIČ (SVN-EPP)",1
"Rainer WIELAND (DEU-EPP)","Daniel BUDA (ROU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Romana TOMC (SVN-EPP)",1
"Rainer WIELAND (DEU-EPP)","Dennis RADTKE (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Niclas HERBST (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Ralf SEEKATZ (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Sven SIMON (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Marlene MORTLER (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Marion WALSMANN (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Christian DOLESCHAL (DEU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Tom BERENDSEN (NLD-EPP)",1
"Rainer WIELAND (DEU-EPP)","Aušra SEIBUTYTĖ (LTU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Alexander ALEXANDROV YORDANOV (BGR-EPP)",1
"Rainer WIELAND (DEU-EPP)","Rasa JUKNEVIČIENĖ (LTU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Liudas MAŽYLIS (LTU-EPP)",1
"Rainer WIELAND (DEU-EPP)","Andrius KUBILIUS (LTU-EPP)",1
"Michael GAHLER (DEU-EPP)","Angelika NIEBLER (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Daniel CASPARY (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Andreas SCHWAB (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Christian EHLER (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Manfred WEBER (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Ljudmila NOVAK (SVN-EPP)",1
"Michael GAHLER (DEU-EPP)","Marian-Jean MARINESCU (ROU-EPP)",1
"Michael GAHLER (DEU-EPP)","Sabine VERHEYEN (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Axel VOSS (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Peter JAHR (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Monika HOHLMEIER (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Lena DÜPONT (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Petri SARVAMAA (FIN-EPP)",1
"Michael GAHLER (DEU-EPP)","Siegfried MUREŞAN (ROU-EPP)",1
"Michael GAHLER (DEU-EPP)","David McALLISTER (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Jens GIESEKE (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Norbert LINS (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Daniel BUDA (ROU-EPP)",1
"Michael GAHLER (DEU-EPP)","Romana TOMC (SVN-EPP)",1
"Michael GAHLER (DEU-EPP)","Dennis RADTKE (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Hildegard BENTELE (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Niclas HERBST (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Ralf SEEKATZ (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Sven SIMON (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Marlene MORTLER (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Marion WALSMANN (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Christian DOLESCHAL (DEU-EPP)",1
"Michael GAHLER (DEU-EPP)","Liudas MAŽYLIS (LTU-EPP)",1
"Michael GAHLER (DEU-EPP)","Andrius KUBILIUS (LTU-EPP)",1
"Angelika NIEBLER (DEU-EPP)","Daniel CASPARY (DEU-EPP)",1
"Angelika NIEBLER (DEU-EPP)","Manfred WEBER (DEU-EPP)",1
"Angelika NIEBLER (DEU-EPP)","Jerzy BUZEK (POL-EPP)",1
"Angelika NIEBLER (DEU-EPP)","Sabine VERHEYEN (DEU-EPP)",1
"Angelika NIEBLER (DEU-EPP)","Jarosław KALINOWSKI (POL-EPP)",1
"Angelika NIEBLER (DEU-EPP)","Peter JAHR (DEU-EPP)",1
"Angelika NIEBLER (DEU-EPP)","Monika HOHLMEIER (DEU-EPP)",1
"Angelika NIEBLER (DEU-EPP)","Lena DÜPONT (DEU-EPP)",1
"Angelika NIEBLER (DEU-EPP)","David McALLISTER (DEU-EPP)",1
"Angelika NIEBLER (DEU-EPP)","Norbert LINS (DEU-EPP)",1
"Angelika NIEBLER (DEU-EPP)","Dennis RADTKE (DEU-EPP)",1
"Angelika NIEBLER (DEU-EPP)","Niclas HERBST (DEU-EPP)",1
"Angelika NIEBLER (DEU-EPP)","Sven SIMON (DEU-EPP)",1
"Angelika NIEBLER (DEU-EPP)","Marlene MORTLER (DEU-EPP)",1
"Angelika NIEBLER (DEU-EPP)","Marion WALSMANN (DEU-EPP)",1
"Angelika NIEBLER (DEU-EPP)","Christian DOLESCHAL (DEU-EPP)",1
"Raffaele FITTO (ITA-ECR)","Adam BIELAN (POL-ECR)",1
"Raffaele FITTO (ITA-ECR)","Lefteris CHRISTOFOROU (CYP-EPP)",1
"Raffaele FITTO (ITA-ECR)","Anna FOTYGA (POL-ECR)",1
"Raffaele FITTO (ITA-ECR)","Zbigniew KUŹMIUK (POL-ECR)",1
"Raffaele FITTO (ITA-ECR)","Waldemar TOMASZEWSKI (LTU-ECR)",1
"Raffaele FITTO (ITA-ECR)","Ryszard Antoni LEGUTKO (POL-ECR)",1
"Raffaele FITTO (ITA-ECR)","Carlo FIDANZA (ITA-ECR)",1
"Raffaele FITTO (ITA-ECR)","Mara BIZZOTTO (ITA-ID)",1
"Raffaele FITTO (ITA-ECR)","Joëlle MÉLIN (FRA-ID)",1
"Raffaele FITTO (ITA-ECR)","Esteban GONZÁLEZ PONS (ESP-EPP)",1
"Raffaele FITTO (ITA-ECR)","Krzysztof JURGIEL (POL-ECR)",1
"Raffaele FITTO (ITA-ECR)","Elżbieta KRUK (POL-ECR)",1
"Raffaele FITTO (ITA-ECR)","Hélène LAPORTE (FRA-ID)",1
"Raffaele FITTO (ITA-ECR)","Pietro FIOCCHI (ITA-ECR)",1
"Raffaele FITTO (ITA-ECR)","Marco DREOSTO (ITA-ID)",1
"Raffaele FITTO (ITA-ECR)","Álvaro AMARO (PRT-EPP)",1
"Raffaele FITTO (ITA-ECR)","Simona BALDASSARRE (ITA-ID)",1
"Raffaele FITTO (ITA-ECR)","Luisa REGIMENTI (ITA-ID)",1
"Raffaele FITTO (ITA-ECR)","Massimo CASANOVA (ITA-ID)",1
"Raffaele FITTO (ITA-ECR)","Andrea CAROPPO (ITA-EPP)",1
"Raffaele FITTO (ITA-ECR)","Nicola PROCACCINI (ITA-ECR)",1
"Raffaele FITTO (ITA-ECR)","Raffaele STANCANELLI (ITA-ECR)",1
"Raffaele FITTO (ITA-ECR)","Hermann TERTSCH (ESP-ECR)",1
"Raffaele FITTO (ITA-ECR)","Andrey SLABAKOV (BGR-ECR)",1
"Raffaele FITTO (ITA-ECR)","Emmanouil FRAGKOS (GRC-ECR)",1
"Antonius MANDERS (NLD-EPP)","Jeroen LENAERS (NLD-EPP)",1
"Antonius MANDERS (NLD-EPP)","Franc BOGOVIČ (SVN-EPP)",1
"Antonius MANDERS (NLD-EPP)","Tom BERENDSEN (NLD-EPP)",1
"Sergio BERLATO (ITA-ECR)","Jan ZAHRADIL (CZE-ECR)",1
"Sergio BERLATO (ITA-ECR)","Adam BIELAN (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Jacek SARYUSZ-WOLSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Anna FOTYGA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Ryszard CZARNECKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Zbigniew KUŹMIUK (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Roberts ZĪLE (LVA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Marco CAMPOMENOSI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Waldemar TOMASZEWSKI (LTU-ECR)",1
"Sergio BERLATO (ITA-ECR)","Evžen TOŠENOVSKÝ (CZE-ECR)",1
"Sergio BERLATO (ITA-ECR)","Ryszard Antoni LEGUTKO (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Tomasz Piotr PORĘBA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Carlo FIDANZA (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Alessandro PANZA (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Paolo BORCHIA (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Marco ZANNI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Angel DZHAMBAZKI (BGR-ECR)",1
"Sergio BERLATO (ITA-ECR)","Jadwiga WIŚNIEWSKA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Kosma ZŁOTOWSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Karol KARSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Zdzisław KRASNODĘBSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Peter LUNDGREN (SWE-ECR)",1
"Sergio BERLATO (ITA-ECR)","Jörg MEUTHEN (DEU-ID)",1
"Sergio BERLATO (ITA-ECR)","Danilo Oscar LANCINI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Geert BOURGEOIS (BEL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Lars Patrick BERG (DEU-ECR)",1
"Sergio BERLATO (ITA-ECR)","Joachim Stanisław BRUDZIŃSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Patryk JAKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Krzysztof JURGIEL (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Beata KEMPA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Izabela-Helena KLOC (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Joanna KOPCIŃSKA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Elżbieta KRUK (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Alexandr VONDRA (CZE-ECR)",1
"Sergio BERLATO (ITA-ECR)","Beata MAZUREK (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Andżelika Anna MOŻDŻANOWSKA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Elżbieta RAFALSKA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Bogdan RZOŃCA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Veronika VRECIONOVÁ (CZE-ECR)",1
"Sergio BERLATO (ITA-ECR)","Beata SZYDŁO (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Grzegorz TOBISZOWSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Witold Jan WASZCZYKOWSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Anna ZALEWSKA (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Silvia SARDONE (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Gianna GANCIA (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Pietro FIOCCHI (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Gianantonio DA RE (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Alessandra BASSO (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Elena LIZZI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Rosanna CONTE (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Robert ROOS (NLD-ECR)",1
"Sergio BERLATO (ITA-ECR)","Rob ROOKEN (NLD-ECR)",1
"Sergio BERLATO (ITA-ECR)","Susanna CECCARDI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Antonio Maria RINALDI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Annalisa TARDINO (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Nicola PROCACCINI (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Raffaele STANCANELLI (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Matteo ADINOLFI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Jorge BUXADÉ VILLALBA (ESP-ECR)",1
"Sergio BERLATO (ITA-ECR)","Hermann TERTSCH (ESP-ECR)",1
"Sergio BERLATO (ITA-ECR)","Andrey SLABAKOV (BGR-ECR)",1
"Sergio BERLATO (ITA-ECR)","Mazaly AGUILAR (ESP-ECR)",1
"Sergio BERLATO (ITA-ECR)","Vincenzo SOFO (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Dominik TARCZYŃSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Margarita DE LA PISA CARRIÓN (ESP-ECR)",1
"Sergio BERLATO (ITA-ECR)","Michiel HOOGEVEEN (NLD-ECR)",1
