"from","to","weight"
"Charles GOERENS (LUX-RENEW)","Dacian CIOLOŞ (ROU-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Claudia GAMON (AUT-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Pedro MARQUES (PRT-SD)",1
"Charles GOERENS (LUX-RENEW)","Margarida MARQUES (PRT-SD)",1
"Charles GOERENS (LUX-RENEW)","Sara CERDAS (PRT-SD)",1
"Charles GOERENS (LUX-RENEW)","Mircea-Gheorghe HAVA (ROU-EPP)",1
"Charles GOERENS (LUX-RENEW)","Carmen AVRAM (ROU-SD)",1
"Charles GOERENS (LUX-RENEW)","Dragoş PÎSLARU (ROU-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Dragoş TUDORACHE (ROU-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Vlad-Marius BOTOŞ (ROU-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Lina GÁLVEZ MUÑOZ (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Nicolás GONZÁLEZ CASARES (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Cristina MAESTRE MARTÍN DE ALMAGRO (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Frances FITZGERALD (IRL-EPP)",1
"Charles GOERENS (LUX-RENEW)","César LUENA (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Nacho SÁNCHEZ AMOR (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Lídia PEREIRA (PRT-EPP)",1
"Charles GOERENS (LUX-RENEW)","Isabel GARCÍA MUÑOZ (ESP-SD)",1
"Charles GOERENS (LUX-RENEW)","Vladimír BILČÍK (SVK-EPP)",1
"Charles GOERENS (LUX-RENEW)","Leopoldo LÓPEZ GIL (ESP-EPP)",1
"Charles GOERENS (LUX-RENEW)","Tom BERENDSEN (NLD-EPP)",1
"Charles GOERENS (LUX-RENEW)","José Ramón BAUZÁ DÍAZ (ESP-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Malik AZMANI (NLD-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Susana SOLÍS PÉREZ (ESP-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Billy KELLEHER (IRL-RENEW)",1
"Charles GOERENS (LUX-RENEW)","Aušra SEIBUTYTĖ (LTU-EPP)",1
"Charles GOERENS (LUX-RENEW)","Juozas OLEKAS (LTU-SD)",1
"Charles GOERENS (LUX-RENEW)","Liudas MAŽYLIS (LTU-EPP)",1
