"from","to","weight"
"Markus FERBER (DEU-EPP)","Evžen TOŠENOVSKÝ (CZE-ECR)",1
"Markus FERBER (DEU-EPP)","Sabine VERHEYEN (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Axel VOSS (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Jarosław KALINOWSKI (POL-EPP)",1
"Markus FERBER (DEU-EPP)","Peter JAHR (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Monika HOHLMEIER (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Elżbieta Katarzyna ŁUKACIJEWSKA (POL-EPP)",1
"Markus FERBER (DEU-EPP)","Pablo ARIAS ECHEVERRÍA (ESP-EPP)",1
"Markus FERBER (DEU-EPP)","Maria da Graça CARVALHO (PRT-EPP)",1
"Markus FERBER (DEU-EPP)","Andrey NOVAKOV (BGR-EPP)",1
"Markus FERBER (DEU-EPP)","Petri SARVAMAA (FIN-EPP)",1
"Markus FERBER (DEU-EPP)","Ondřej KOVAŘÍK (CZE-RENEW)",1
"Markus FERBER (DEU-EPP)","Dita CHARANZOVÁ (CZE-RENEW)",1
"Markus FERBER (DEU-EPP)","Tomáš ZDECHOVSKÝ (CZE-EPP)",1
"Markus FERBER (DEU-EPP)","Siegfried MUREŞAN (ROU-EPP)",1
"Markus FERBER (DEU-EPP)","David McALLISTER (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Jens GIESEKE (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Norbert LINS (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Ulrike MÜLLER (DEU-RENEW)",1
"Markus FERBER (DEU-EPP)","Daniel BUDA (ROU-EPP)",1
"Markus FERBER (DEU-EPP)","Dennis RADTKE (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Caroline NAGTEGAAL (NLD-RENEW)",1
"Markus FERBER (DEU-EPP)","Sara SKYTTEDAL (SWE-EPP)",1
"Markus FERBER (DEU-EPP)","David LEGA (SWE-EPP)",1
"Markus FERBER (DEU-EPP)","Tomas TOBÉ (SWE-EPP)",1
"Markus FERBER (DEU-EPP)","Jessica POLFJÄRD (SWE-EPP)",1
"Markus FERBER (DEU-EPP)","Jörgen WARBORN (SWE-EPP)",1
"Markus FERBER (DEU-EPP)","Arba KOKALARI (SWE-EPP)",1
"Markus FERBER (DEU-EPP)","Hildegard BENTELE (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Stefan BERGER (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Niclas HERBST (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Christine SCHNEIDER (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Ralf SEEKATZ (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Sven SIMON (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Marlene MORTLER (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Marion WALSMANN (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Jan-Christoph OETJEN (DEU-RENEW)",1
"Markus FERBER (DEU-EPP)","Nicola BEER (DEU-RENEW)",1
"Markus FERBER (DEU-EPP)","Andreas GLÜCK (DEU-RENEW)",1
"Markus FERBER (DEU-EPP)","Svenja HAHN (DEU-RENEW)",1
"Markus FERBER (DEU-EPP)","Moritz KÖRNER (DEU-RENEW)",1
"Markus FERBER (DEU-EPP)","Geert BOURGEOIS (BEL-ECR)",1
"Markus FERBER (DEU-EPP)","Assita KANKO (BEL-ECR)",1
"Markus FERBER (DEU-EPP)","Christian DOLESCHAL (DEU-EPP)",1
"Markus FERBER (DEU-EPP)","Jarosław DUDA (POL-EPP)",1
"Markus FERBER (DEU-EPP)","Tomasz FRANKOWSKI (POL-EPP)",1
"Markus FERBER (DEU-EPP)","Andrzej HALICKI (POL-EPP)",1
"Markus FERBER (DEU-EPP)","Adam JARUBAS (POL-EPP)",1
"Markus FERBER (DEU-EPP)","Ewa KOPACZ (POL-EPP)",1
"Markus FERBER (DEU-EPP)","Martin HLAVÁČEK (CZE-RENEW)",1
"Markus FERBER (DEU-EPP)","Ondřej KNOTEK (CZE-RENEW)",1
"Markus FERBER (DEU-EPP)","Alexandr VONDRA (CZE-ECR)",1
"Markus FERBER (DEU-EPP)","Veronika VRECIONOVÁ (CZE-ECR)",1
"Markus FERBER (DEU-EPP)","Javier ZARZALEJOS (ESP-EPP)",1
"Markus FERBER (DEU-EPP)","Vasile BLAGA (ROU-EPP)",1
"Markus FERBER (DEU-EPP)","Mircea-Gheorghe HAVA (ROU-EPP)",1
"Markus FERBER (DEU-EPP)","Gheorghe FALCĂ (ROU-EPP)",1
"Markus FERBER (DEU-EPP)","Dolors MONTSERRAT (ESP-EPP)",1
"Markus FERBER (DEU-EPP)","Frances FITZGERALD (IRL-EPP)",1
"Markus FERBER (DEU-EPP)","Tom BERENDSEN (NLD-EPP)",1
"Markus FERBER (DEU-EPP)","Aušra SEIBUTYTĖ (LTU-EPP)",1
"Markus FERBER (DEU-EPP)","Alexander ALEXANDROV YORDANOV (BGR-EPP)",1
"Markus FERBER (DEU-EPP)","Rasa JUKNEVIČIENĖ (LTU-EPP)",1
"Markus FERBER (DEU-EPP)","Liudas MAŽYLIS (LTU-EPP)",1
"Markus FERBER (DEU-EPP)","Andrius KUBILIUS (LTU-EPP)",1
"Markus FERBER (DEU-EPP)","Riho TERRAS (EST-EPP)",1
"Peter LIESE (DEU-EPP)","José Manuel GARCÍA-MARGALLO Y MARFIL (ESP-EPP)",1
"Peter LIESE (DEU-EPP)","Antonio TAJANI (ITA-EPP)",1
"Peter LIESE (DEU-EPP)","Rainer WIELAND (DEU-EPP)",1
"Peter LIESE (DEU-EPP)","Michael GAHLER (DEU-EPP)",1
"Peter LIESE (DEU-EPP)","Angelika NIEBLER (DEU-EPP)",1
"Peter LIESE (DEU-EPP)","Antonius MANDERS (NLD-EPP)",1
"Peter LIESE (DEU-EPP)","Sergio BERLATO (ITA-ECR)",1
"Peter LIESE (DEU-EPP)","Jan ZAHRADIL (CZE-ECR)",1
"Peter LIESE (DEU-EPP)","Janusz LEWANDOWSKI (POL-EPP)",1
"Peter LIESE (DEU-EPP)","Daniel CASPARY (DEU-EPP)",1
"Peter LIESE (DEU-EPP)","Andreas SCHWAB (DEU-EPP)",1
"Peter LIESE (DEU-EPP)","Markus PIEPER (DEU-EPP)",1
"Peter LIESE (DEU-EPP)","Christian EHLER (DEU-EPP)",1
"Peter LIESE (DEU-EPP)","Manfred WEBER (DEU-EPP)",1
"Peter LIESE (DEU-EPP)","Jerzy BUZEK (POL-EPP)",1
"Peter LIESE (DEU-EPP)","Jan OLBRYCHT (POL-EPP)",1
"Peter LIESE (DEU-EPP)","Ljudmila NOVAK (SVN-EPP)",1
"Peter LIESE (DEU-EPP)","Pilar del CASTILLO VERA (ESP-EPP)",1
"Peter LIESE (DEU-EPP)","Antonio LÓPEZ-ISTÚRIZ WHITE (ESP-EPP)",1
"Peter LIESE (DEU-EPP)","Francisco José MILLÁN MON (ESP-EPP)",1
"Peter LIESE (DEU-EPP)","Marian-Jean MARINESCU (ROU-EPP)",1
"Peter LIESE (DEU-EPP)","Esther DE LANGE (NLD-EPP)",1
"Peter LIESE (DEU-EPP)","Cristian-Silviu BUŞOI (ROU-EPP)",1
"Peter LIESE (DEU-EPP)","Iuliu WINKLER (ROU-EPP)",1
"Peter LIESE (DEU-EPP)","Jan HUITEMA (NLD-RENEW)",1
"Peter LIESE (DEU-EPP)","Jeroen LENAERS (NLD-EPP)",1
"Peter LIESE (DEU-EPP)","Seán KELLY (IRL-EPP)",1
"Peter LIESE (DEU-EPP)","Morten LØKKEGAARD (DNK-RENEW)",1
"Peter LIESE (DEU-EPP)","Evžen TOŠENOVSKÝ (CZE-ECR)",1
"Peter LIESE (DEU-EPP)","Sabine VERHEYEN (DEU-EPP)",1
"Peter LIESE (DEU-EPP)","Axel VOSS (DEU-EPP)",1
