"from","to","weight"
"Sergio BERLATO (ITA-ECR)","Silvia SARDONE (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Pietro FIOCCHI (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Gianantonio DA RE (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Alessandra BASSO (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Elena LIZZI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Rosanna CONTE (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Cristian TERHEŞ (ROU-ECR)",1
"Sergio BERLATO (ITA-ECR)","Bert-Jan RUISSEN (NLD-ECR)",1
"Sergio BERLATO (ITA-ECR)","Susanna CECCARDI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Antonio Maria RINALDI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Annalisa TARDINO (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Nicola PROCACCINI (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Raffaele STANCANELLI (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Matteo ADINOLFI (ITA-ID)",1
"Sergio BERLATO (ITA-ECR)","Jorge BUXADÉ VILLALBA (ESP-ECR)",1
"Sergio BERLATO (ITA-ECR)","Andrey SLABAKOV (BGR-ECR)",1
"Sergio BERLATO (ITA-ECR)","Mazaly AGUILAR (ESP-ECR)",1
"Sergio BERLATO (ITA-ECR)","Emmanouil FRAGKOS (GRC-ECR)",1
"Sergio BERLATO (ITA-ECR)","Vincenzo SOFO (ITA-ECR)",1
"Sergio BERLATO (ITA-ECR)","Dominik TARCZYŃSKI (POL-ECR)",1
"Sergio BERLATO (ITA-ECR)","Margarita DE LA PISA CARRIÓN (ESP-ECR)",1
"Brice HORTEFEUX (FRA-EPP)","François-Xavier BELLAMY (FRA-EPP)",1
"Kathleen VAN BREMPT (BEL-SD)","Javier MORENO SÁNCHEZ (ESP-SD)",1
"Kathleen VAN BREMPT (BEL-SD)","Nils UŠAKOVS (LVA-SD)",1
"Kathleen VAN BREMPT (BEL-SD)","Petar VITANOV (BGR-SD)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Emmanuel MAUREL (FRA-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Younous OMARJEE (FRA-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Helmut SCHOLZ (DEU-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Marisa MATIAS (PRT-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Cornelia ERNST (DEU-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Martina MICHELS (DEU-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Luke Ming FLANAGAN (IRL-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Malin BJÖRK (SWE-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Miguel URBÁN CRESPO (ESP-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Marc BOTENGA (BEL-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Martin SCHIRDEWAN (DEU-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Niyazi KIZILYÜREK (CYP-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Giorgos GEORGIOU (CYP-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Özlem DEMIREL (DEU-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Anne-Sophie PELLETIER (FRA-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Leila CHAIBI (FRA-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Manon AUBRY (FRA-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Sira REGO (ESP-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Clare DALY (IRL-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Eugenia RODRÍGUEZ PALOP (ESP-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Mick WALLACE (IRL-GUE_NGL)",1
"Kateřina KONEČNÁ (CZE-GUE_NGL)","Manu PINEDA (ESP-GUE_NGL)",1
"Jan ZAHRADIL (CZE-ECR)","Evžen TOŠENOVSKÝ (CZE-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Angel DZHAMBAZKI (BGR-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Jadwiga WIŚNIEWSKA (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Kosma ZŁOTOWSKI (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Zdzisław KRASNODĘBSKI (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Beata KEMPA (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Joanna KOPCIŃSKA (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Elżbieta KRUK (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Alexandr VONDRA (CZE-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Beata MAZUREK (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Andżelika Anna MOŻDŻANOWSKA (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Elżbieta RAFALSKA (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Bogdan RZOŃCA (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Veronika VRECIONOVÁ (CZE-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Grzegorz TOBISZOWSKI (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Witold Jan WASZCZYKOWSKI (POL-ECR)",1
"Jan ZAHRADIL (CZE-ECR)","Anna ZALEWSKA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Jacek SARYUSZ-WOLSKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Anna FOTYGA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Ryszard CZARNECKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Zbigniew KUŹMIUK (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Ryszard Antoni LEGUTKO (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Paolo BORCHIA (ITA-ID)",1
"Adam BIELAN (POL-ECR)","Angel DZHAMBAZKI (BGR-ECR)",1
"Adam BIELAN (POL-ECR)","Jadwiga WIŚNIEWSKA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Kosma ZŁOTOWSKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Karol KARSKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Zdzisław KRASNODĘBSKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Peter LUNDGREN (SWE-ECR)",1
"Adam BIELAN (POL-ECR)","Danilo Oscar LANCINI (ITA-ID)",1
"Adam BIELAN (POL-ECR)","Joachim Stanisław BRUDZIŃSKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Patryk JAKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Krzysztof JURGIEL (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Beata KEMPA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Izabela-Helena KLOC (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Joanna KOPCIŃSKA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Elżbieta KRUK (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Beata MAZUREK (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Andżelika Anna MOŻDŻANOWSKA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Elżbieta RAFALSKA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Bogdan RZOŃCA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Beata SZYDŁO (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Grzegorz TOBISZOWSKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Witold Jan WASZCZYKOWSKI (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Anna ZALEWSKA (POL-ECR)",1
"Adam BIELAN (POL-ECR)","Gianantonio DA RE (ITA-ID)",1
"Adam BIELAN (POL-ECR)","Alessandra BASSO (ITA-ID)",1
"Adam BIELAN (POL-ECR)","Rosanna CONTE (ITA-ID)",1
"Adam BIELAN (POL-ECR)","Nicola PROCACCINI (ITA-ECR)",1
"Adam BIELAN (POL-ECR)","Raffaele STANCANELLI (ITA-ECR)",1
"Adam BIELAN (POL-ECR)","Hermann TERTSCH (ESP-ECR)",1
"Adam BIELAN (POL-ECR)","Mazaly AGUILAR (ESP-ECR)",1
"Adam BIELAN (POL-ECR)","Dominik TARCZYŃSKI (POL-ECR)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Dimitrios PAPADIMOULIS (GRC-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Tatjana ŽDANOKA (LVA-GREEN_EFA)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Younous OMARJEE (FRA-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","José GUSMÃO (PRT-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Helmut SCHOLZ (DEU-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Marisa MATIAS (PRT-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Cornelia ERNST (DEU-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Martina MICHELS (DEU-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Luke Ming FLANAGAN (IRL-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Malin BJÖRK (SWE-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Anja HAZEKAMP (NLD-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Miguel URBÁN CRESPO (ESP-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Marc BOTENGA (BEL-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Martin SCHIRDEWAN (DEU-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Niyazi KIZILYÜREK (CYP-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Giorgos GEORGIOU (CYP-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Özlem DEMIREL (DEU-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Anne-Sophie PELLETIER (FRA-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Leila CHAIBI (FRA-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Manon AUBRY (FRA-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Nikolaj VILLUMSEN (DNK-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Sira REGO (ESP-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Elena KOUNTOURA (GRC-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Konstantinos ARVANITIS (GRC-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Clare DALY (IRL-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Eugenia RODRÍGUEZ PALOP (ESP-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Silvia MODIG (FIN-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Mick WALLACE (IRL-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Idoia VILLANUEVA RUIZ (ESP-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Manu PINEDA (ESP-GUE_NGL)",1
"Emmanuel MAUREL (FRA-GUE_NGL)","Chris MACMANUS (IRL-GUE_NGL)",1
"Lefteris CHRISTOFOROU (CYP-EPP)","Nicolae ŞTEFĂNUȚĂ (ROU-RENEW)",1
"Lefteris CHRISTOFOROU (CYP-EPP)","Yannick JADOT (FRA-GREEN_EFA)",1
"Lefteris CHRISTOFOROU (CYP-EPP)","Michèle RIVASI (FRA-GREEN_EFA)",1
"Lefteris CHRISTOFOROU (CYP-EPP)","Peter van DALEN (NLD-EPP)",1
"Lefteris CHRISTOFOROU (CYP-EPP)","Ismail ERTUG (DEU-SD)",1
"Lefteris CHRISTOFOROU (CYP-EPP)","Mara BIZZOTTO (ITA-ID)",1
"Lefteris CHRISTOFOROU (CYP-EPP)","Michal ŠIMEČKA (SVK-RENEW)",1
"Lefteris CHRISTOFOROU (CYP-EPP)","Eric ANDRIEU (FRA-SD)",1
