country_code,id_mep,name,full_term
PRT,160,Paulo RANGEL,0
SVN,161,Tanja FAJON,0
ESP,162,Izaskun BILBAO BARANDICA,1
DEU,163,Birgit SIPPEL,1
SVN,164,Milan ZVER,1
LVA,165,Sandra KALNIETE,1
ESP,166,Gabriel MATO,0
GBR,167,Diane DODDS,0
FRA,168,Sylvie GUILLAUME,1
GBR,169,Catherine BEARDER,0
PRT,170,Nuno MELO,0
ESP,171,Eider GARDIAZABAL RUBIAL,1
AUT,172,Evelyn REGNER,1
BEL,173,Guy VERHOFSTADT,1
NLD,174,Derk Jan EPPINK,0
ITA,175,Mara BIZZOTTO,0
FRA,176,Marie TOUSSAINT,1
BGR,177,Andrey KOVATCHEV,1
BGR,178,Eva MAYDELL,1
ROU,179,Loránt VINCZE,1
ITA,180,Alessandro PANZA,1
GBR,181,Alexandra Lesley PHILLIPS,0
DEU,182,Lena DÜPONT,1
ITA,183,Paolo BORCHIA,1
DNK,184,Niels FUGLSANG,1
DEU,185,Terry REINTKE,1
SVK,186,Michal ŠIMEČKA,0
DEU,187,Daniel FREUND,1
BGR,188,Andrey NOVAKOV,1
GBR,189,Anthea McINTYRE,0
GBR,190,Phil BENNION,0
FIN,191,Petri SARVAMAA,1
HRV,192,Tonino PICULA,1
HRV,193,Romana JERKOVIĆ,0
HRV,194,Biljana BORZAN,1
FRA,195,Eric ANDRIEU,0
GBR,196,Martina ANDERSON,0
FIN,197,Nils TORVALDS,1
MLT,198,Roberta METSOLA,1
CZE,199,Ondřej KOVAŘÍK,1
HRV,200,Ruža TOMAŠIĆ,0
HRV,201,Dubravka ŠUICA,0
DEU,202,Martina MICHELS,1
ESP,203,Alicia HOMS GINEL,1
SWE,204,Charlie WEIMERS,1
HUN,205,Balázs HIDVÉGHI,1
CYP,206,Costas MAVRIDES,1
CYP,207,Demetris PAPADAKIS,1
FRA,208,Pascal DURAND,1
EST,209,Andrus ANSIP,1
EST,210,Jana TOOM,1
CZE,211,Luděk NIEDERMAYER,1
CZE,212,Stanislav POLČÁK,1
HUN,213,István UJHELYI,1
CZE,214,Dita CHARANZOVÁ,1
CZE,215,Martina DLABAJOVÁ,1
CZE,216,Michaela ŠOJDROVÁ,1
HUN,217,Andrea BOCSKOR,1
CZE,218,Tomáš ZDECHOVSKÝ,1
HUN,219,Andor DELI,1
HUN,220,György HÖLVÉNYI,1
HUN,221,Csaba MOLNÁR,1
FIN,222,Henna VIRKKUNEN,1
PRT,223,Cláudia MONTEIRO DE AGUIAR,0
FIN,224,Miapetra KUMPULA-NATRI,1
FRA,225,Gilles LEBRETON,1
PRT,226,Carlos ZORRINHO,1
PRT,227,Pedro SILVA PEREIRA,1
FRA,228,Nicolas BAY,1
FRA,229,Joëlle MÉLIN,0
LTU,230,Petras AUŠTREVIČIUS,1
FRA,231,Jean-François JALKH,1
FRA,232,Dominique BILDE,1
ITA,233,Tiziana BEGHIN,1
ITA,234,Eleonora EVI,0
ITA,235,Marco ZANNI,1
MLT,236,Alfred SANT,1
ROU,237,Dan NICA,1
ROU,238,Maria GRAPINI,1
ITA,239,Alessandra MORETTI,1
ROU,240,Siegfried MUREŞAN,1
DEU,241,David McALLISTER,1
DEU,242,Jens GIESEKE,1
DEU,243,Norbert LINS,1
DEU,244,Sven SCHULZE,0
ITA,245,Fabio Massimo CASTALDO,1
ITA,246,Simona BONAFÈ,0
DEU,247,Klaus BUCHNER,0
ITA,248,Nicola DANTI,0
DEU,249,Dietmar KÖSTER,1
ITA,250,Fulvio MARTUSCIELLO,1
ITA,251,Isabella ADINOLFI,1
ITA,252,Laura FERRARA,1
DEU,253,Martin SONNEBORN,1
ITA,254,Rosa D'AMATO,1
DEU,255,Maria NOICHL,1
DEU,256,Joachim SCHUSTER,1
ITA,257,Piernicola PEDICINI,1
ITA,258,Pina PICIERNO,1
BGR,259,Emil RADEV,1
BGR,260,Sergei STANISHEV,1
ITA,261,Ignazio CORRAO,1
ITA,262,Caterina CHINNICI,1
DEU,263,Ulrike MÜLLER,1
BGR,264,Ilhan KYUCHYUK,1
ITA,265,Brando BENIFEI,1
DNK,267,Morten PETERSEN,1
BGR,268,Angel DZHAMBAZKI,1
DNK,269,Anders VISTISEN,0
POL,270,Jadwiga WIŚNIEWSKA,1
POL,271,Kosma ZŁOTOWSKI,1
POL,272,Karol KARSKI,1
POL,273,Zdzisław KRASNODĘBSKI,1
POL,274,Krzysztof HETMAN,0
SVK,275,Ivan ŠTEFANEC,1
AUT,276,Monika VANA,1
BEL,277,Maria ARENA,1
GBR,278,Molly SCOTT CATO,0
GBR,279,Seb DANCE,0
GBR,280,Jude KIRTON-DARLING,0
GBR,281,Theresa GRIFFIN,0
GBR,282,Julie WARD,0
GBR,283,Nathan GILL,0
MLT,284,Miriam DALLI,0
ESP,285,Ernest URTASUN,0
BEL,286,Gerolf ANNEMANS,1
IRL,287,Luke Ming FLANAGAN,1
IRL,288,Matt CARTHY,0
IRL,289,Deirdre CLUNE,0
SWE,290,Fredrick FEDERLEY,0
SWE,291,Jytte GUTELAND,0
